u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.9718,1.9959,0.0010,-0.0034,11.6685,-81.7199,-3.2080,-0.0309,-0.0309,0.0422,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.7505,1.9965,-0.0057,-0.0034,11.6438,-81.7209,-3.2080,-0.0272,-0.0272,0.0421,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.4975,1.9970,-0.0124,-0.0034,11.6535,-81.7228,-3.2078,-0.0264,-0.0264,0.0424,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.2473,1.9975,-0.0191,-0.0034,11.6746,-81.7247,-3.2084,-0.0267,-0.0267,0.0418,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0993,1.9979,-0.0258,-0.0034,11.6913,-81.7252,-3.2087,-0.0281,-0.0281,0.0415,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.2119,1.9982,-0.0325,-0.0034,11.7069,-81.7281,-3.2086,-0.0269,-0.0269,0.0416,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.1669,1.9985,-0.0347,-0.0034,11.6956,-81.7274,-3.2091,-0.0263,-0.0263,0.0411,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.1587,1.9987,-0.0350,-0.0034,11.6970,-81.7270,-3.2089,-0.0268,-0.0268,0.0413,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.1131,1.9989,-0.0345,-0.0034,11.6999,-81.7237,-3.2093,-0.0305,-0.0305,0.0409,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9991,-0.0345,-0.0034,11.7034,-81.7278,-3.2096,-0.0268,-0.0268,0.0405,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9992,-0.0344,-0.0034,11.6997,-81.7278,-3.2099,-0.0263,-0.0263,0.0403,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0524,1.9993,-0.0345,-0.0034,11.7060,-81.7287,-3.2096,-0.0262,-0.0262,0.0406,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9994,-0.0335,-0.0034,11.6928,-81.7238,-3.2112,-0.0296,-0.0296,0.0390,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0633,1.9995,-0.0335,-0.0034,11.7010,-81.7238,-3.2098,-0.0305,-0.0305,0.0404,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.1433,1.9996,-0.0338,-0.0034,11.7071,-81.7268,-3.2099,-0.0282,-0.0282,0.0403,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0826,1.9996,-0.0344,-0.0034,11.7109,-81.7303,-3.2096,-0.0251,-0.0251,0.0406,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0674,1.9997,-0.0339,-0.0034,11.7052,-81.7272,-3.2106,-0.0276,-0.0276,0.0396,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0527,1.9997,-0.0335,-0.0034,11.7059,-81.7255,-3.2105,-0.0293,-0.0293,0.0397,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0666,1.9998,-0.0333,-0.0034,11.7060,-81.7258,-3.2106,-0.0291,-0.0291,0.0396,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9998,-0.0334,-0.0034,11.7061,-81.7277,-3.2104,-0.0272,-0.0272,0.0398,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9998,-0.0336,-0.0034,11.7052,-81.7286,-3.2105,-0.0262,-0.0262,0.0397,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9999,-0.0336,-0.0034,11.7082,-81.7288,-3.2107,-0.0263,-0.0263,0.0395,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9999,-0.0337,-0.0034,11.7086,-81.7295,-3.2104,-0.0257,-0.0257,0.0398,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9999,-0.0337,-0.0034,11.7098,-81.7286,-3.2105,-0.0267,-0.0267,0.0397,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9999,-0.0335,-0.0034,11.7105,-81.7282,-3.2108,-0.0272,-0.0272,0.0394,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9999,-0.0337,-0.0034,11.7110,-81.7289,-3.2101,-0.0265,-0.0265,0.0401,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9999,-0.0341,-0.0034,11.7106,-81.7284,-3.2095,-0.0270,-0.0270,0.0407,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,1.9999,-0.0341,-0.0034,11.7124,-81.7267,-3.2095,-0.0289,-0.0289,0.0407,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0343,-0.0034,11.7109,-81.7291,-3.2094,-0.0263,-0.0263,0.0408,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0342,-0.0034,11.7134,-81.7274,-3.2096,-0.0283,-0.0283,0.0406,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0350,-0.0034,11.7119,-81.7261,-3.2073,-0.0294,-0.0294,0.0428,0.0000,0.0000,-0.0020,-0.0008
