"u_a","v_real","v_ref","u_delta","delta_d","px","py","theta1","cte","cte_real","epsi","vx","vy","kappa","beta"
0,1.6869,1.6869,-0.06,-0.015,20.7066,1.3004,0,0.1285,0.1285,-0.0339,1.6616,-0.291,-0.0091,-0.0036
0,1.6869,1.6869,-0.0538,-0.0156,20.8726,1.2703,0,0.1218,0.1218,-0.0355,1.6598,-0.3011,-0.0094,-0.0038
0,1.6869,1.6869,-0.0471,-0.0156,21.0384,1.2393,0,0.1149,0.1149,-0.041,1.6581,-0.3102,-0.0094,-0.0038
0,1.6869,1.6869,-0.0404,-0.0156,21.2041,1.2075,0,0.1072,0.1072,-0.0458,1.6566,-0.3181,-0.0094,-0.0038
0,1.6869,1.6869,-0.0397,-0.0216,21.3696,1.175,0,0.0988,0.0988,-0.0445,1.6553,-0.325,-0.013,-0.0052
0,1.6869,1.6869,-0.033,-0.0216,21.535,1.1418,0,0.0906,0.0906,-0.0485,1.6539,-0.3316,-0.013,-0.0052
0,1.6869,1.6869,-0.0263,-0.0216,21.7003,1.1081,0,0.0819,0.0819,-0.0519,1.6528,-0.3372,-0.013,-0.0052
0,1.6869,1.6869,-0.033,-0.0352,21.8655,1.0739,0,0.0728,0.0728,-0.0507,1.6519,-0.3416,-0.0212,-0.0085
0,1.6869,1.6869,-0.0264,-0.0352,22.0305,1.0392,0,0.0637,0.0637,-0.054,1.6508,-0.3472,-0.0212,-0.0085
0,1.6869,1.6869,-0.0197,-0.0352,22.1955,1.004,0,0.0541,0.0541,-0.0567,1.6498,-0.3516,-0.0212,-0.0085
0,1.6869,1.6869,-0.0264,-0.0515,22.3604,0.9686,0,0.0443,0.0443,-0.0564,1.6491,-0.3549,-0.031,-0.0124
0,1.6869,1.6869,-0.0197,-0.0515,22.5252,0.9326,0,0.0343,0.0343,-0.0591,1.6482,-0.3593,-0.031,-0.0124
0,1.6869,1.6869,-0.013,-0.0515,22.69,0.8964,0,0.024,0.024,-0.0611,1.6474,-0.3626,-0.031,-0.0124
0,1.6869,1.6869,-0.0197,-0.0663,22.8547,0.8599,0,0.0137,0.0137,-0.0551,1.647,-0.3648,-0.04,-0.016
0,1.6869,1.6869,-0.013,-0.0663,23.0193,0.8231,0,0.0041,0.0041,-0.0571,1.6462,-0.3681,-0.04,-0.016
0,1.6869,1.6869,-0.0063,-0.0663,23.1839,0.786,0,-0.0057,-0.0057,-0.0584,1.6457,-0.3703,-0.04,-0.016
0,1.6869,1.6869,-0.0101,-0.0768,23.3484,0.7489,0,-0.0152,-0.0152,-0.0455,1.6455,-0.3713,-0.0464,-0.0185
0,1.6869,1.6869,-0.0035,-0.0768,23.5129,0.7116,0,-0.023,-0.023,-0.0465,1.6451,-0.373,-0.0464,-0.0185
0,1.6869,1.6869,0.0032,-0.0768,23.6774,0.6743,0,-0.0309,-0.0309,-0.0469,1.645,-0.3736,-0.0464,-0.0185
0,1.6869,1.6869,-0.0035,-0.0785,23.8419,0.6369,0,-0.0377,-0.0377,-0.0206,1.6451,-0.3731,-0.0474,-0.019
0,1.6869,1.6869,-0.0069,-0.0785,24.0064,0.5996,0,-0.0412,-0.0412,-0.021,1.645,-0.3736,-0.0474,-0.019
0,1.6869,1.6869,-0.0087,-0.0785,24.1709,0.5621,0,-0.0449,-0.0449,-0.0217,1.6447,-0.3748,-0.0474,-0.019
0,1.6869,1.6869,-0.012,-0.075,24.3354,0.5245,0,-0.0472,-0.0472,0.0057,1.6444,-0.3763,-0.0453,-0.0181
0,1.6869,1.6869,-0.0186,-0.075,24.4997,0.4867,0,-0.0464,-0.0464,0.0044,1.6439,-0.3782,-0.0453,-0.0181
