u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.0323,2.0281,2.0000,0.0403,-0.0029,66.8502,143.7729,0.0000,0.0337,0.0337,-0.0383,0.0000,0.0000,-0.0017,-0.0007,0.0135
0.1423,1.8788,2.0000,0.0327,-0.0029,67.0347,143.7726,0.0000,0.0284,0.0284,-0.0293,0.0000,0.0000,-0.0017,-0.0007,0.0206
0.2000,1.6970,2.0000,0.0243,-0.0029,67.2145,143.7947,0.0000,0.0442,0.0442,-0.0217,0.0000,0.0000,-0.0017,-0.0007,0.0279
0.2000,1.8278,2.0000,0.0272,0.0084,67.4030,143.8234,0.0000,0.0631,0.0631,0.0005,0.0000,0.0000,0.0050,0.0020,0.0349
0.2000,1.7988,2.0000,0.0188,0.0084,67.5986,143.8390,0.0000,0.0704,0.0704,0.0064,0.0000,0.0000,0.0050,0.0020,0.0370
0.1569,1.8920,2.0000,0.0271,0.0250,67.7864,143.8520,0.0000,0.0743,0.0743,0.0424,0.0000,0.0000,0.0151,0.0060,0.0311
0.0946,1.9462,2.0000,0.0187,0.0250,67.9900,143.8643,0.0000,0.0793,0.0793,0.0389,0.0000,0.0000,0.0151,0.0060,0.0241
0.1483,1.8672,2.0000,0.0103,0.0250,68.1676,143.8989,0.0000,0.1084,0.1084,0.0408,0.0000,0.0000,0.0151,0.0060,0.0258
0.0154,2.0219,2.0000,0.0019,0.0134,68.3402,143.9189,0.0000,0.1299,0.1299,0.0449,0.0000,0.0000,0.0081,0.0032,0.0192
0.2000,1.7952,2.0000,-0.0065,0.0134,68.5269,143.9038,0.0000,0.1064,0.1064,0.0478,0.0000,0.0000,0.0081,0.0032,0.0248
0.2000,1.7246,2.0000,-0.0149,0.0134,68.7252,143.9053,0.0000,0.1007,0.1007,0.0469,0.0000,0.0000,0.0081,0.0032,0.0201
0.2003,1.8554,2.0000,-0.0233,0.0116,68.9192,143.9323,0.0000,0.1164,0.1164,0.0095,0.0000,0.0000,0.0070,0.0028,0.0134
0.1021,1.9662,2.0000,-0.0315,0.0116,69.1250,143.9614,0.0000,0.1293,0.1293,0.0044,0.0000,0.0000,0.0070,0.0028,0.0060
0.0884,1.9417,2.0000,-0.0338,0.0177,69.3229,143.9742,0.0000,0.1268,0.1268,0.0196,0.0000,0.0000,0.0106,0.0043,-0.0016
-0.0487,2.0600,2.0000,-0.0420,0.0177,69.5219,143.9822,0.0000,0.1226,0.1226,0.0122,0.0000,0.0000,0.0106,0.0043,-0.0096
0.0051,1.9756,2.0000,-0.0504,-0.0160,69.7213,144.0017,0.0000,0.1224,0.1224,-0.0655,0.0000,0.0000,-0.0096,-0.0038,-0.0171
0.0196,1.9756,2.0000,-0.0420,-0.0160,69.9305,143.9927,0.0000,0.0828,0.0828,-0.0754,0.0000,0.0000,-0.0096,-0.0038,-0.0250
0.0256,1.9756,2.0000,-0.0336,-0.0160,70.1471,144.0119,0.0000,0.0693,0.0693,-0.0854,0.0000,0.0000,-0.0096,-0.0038,-0.0290
-0.0653,2.0788,2.0000,-0.0267,-0.0174,70.3569,144.0316,0.0000,0.0480,0.0480,-0.1052,0.0000,0.0000,-0.0105,-0.0042,-0.0352
-0.1608,2.1533,2.0000,-0.0183,-0.0174,70.5396,144.0476,0.0000,0.0291,0.0291,-0.1178,0.0000,0.0000,-0.0105,-0.0042,-0.0442
-0.1274,2.0886,2.0000,-0.0099,-0.0026,70.7273,144.0501,0.0000,0.0107,0.0107,-0.0831,0.0000,0.0000,-0.0016,-0.0006,-0.0448
0.0723,1.8165,2.0000,-0.0015,-0.0026,70.9320,144.0535,0.0000,0.0073,0.0073,-0.0792,0.0000,0.0000,-0.0016,-0.0006,-0.0337
0.1509,1.8624,2.0000,0.0069,-0.0026,71.1353,144.0531,0.0000,-0.0120,-0.0120,-0.0795,0.0000,0.0000,-0.0016,-0.0006,-0.0258
0.0080,2.0300,2.0000,0.0120,-0.0059,71.3285,144.0653,0.0000,-0.0249,-0.0249,-0.0936,0.0000,0.0000,-0.0036,-0.0014,-0.0193
-0.0109,2.0158,2.0000,0.0204,-0.0059,71.5516,144.0579,0.0000,-0.0507,-0.0507,-0.0906,0.0000,0.0000,-0.0036,-0.0014,-0.0115
0.0769,1.9185,2.0000,0.0199,-0.0148,71.7603,144.0667,0.0000,-0.0524,-0.0524,-0.0887,0.0000,0.0000,-0.0089,-0.0036,-0.0038
-0.1230,2.2132,2.0000,0.0283,-0.0148,71.9553,144.0620,0.0000,-0.0842,-0.0842,-0.0827,0.0000,0.0000,-0.0089,-0.0036,0.0042
-0.1046,2.0718,2.0000,0.0367,-0.0006,72.1581,144.0661,0.0000,-0.0862,-0.0862,-0.0459,0.0000,0.0000,-0.0003,-0.0001,0.0111
0.0470,1.9337,2.0000,0.0451,-0.0006,72.3549,144.0959,0.0000,-0.0614,-0.0614,-0.0404,0.0000,0.0000,-0.0003,-0.0001,0.0162
0.0051,2.0117,2.0000,0.0535,-0.0006,72.5563,144.0915,0.0000,-0.0754,-0.0754,-0.0342,0.0000,0.0000,-0.0003,-0.0001,0.0197
0.0251,1.9747,2.0000,0.0509,-0.0116,72.7562,144.0895,0.0000,-0.0848,-0.0848,-0.0557,0.0000,0.0000,-0.0070,-0.0028,0.0231
0.0105,1.9974,2.0000,0.0592,-0.0116,72.9463,144.0961,0.0000,-0.0876,-0.0876,-0.0447,0.0000,0.0000,-0.0070,-0.0028,0.0296
0.0186,1.9813,2.0000,0.0645,-0.0116,73.1425,144.1155,0.0000,-0.0771,-0.0771,-0.0336,0.0000,0.0000,-0.0070,-0.0028,0.0364
