%time,field.header.seq,field.header.stamp,field.header.frame_id,field.LLH.x,field.LLH.y,field.LLH.z,field.HorSpeed,field.SpeedDir,field.VerSpeed
1778036385665135676,12526,1778036385664395263,F2008915,24.788882957,120.998352353,102.783,0.20000000298023224,140.16000366210938,-0.009999999776482582
1778036385665218982,12527,1778036385664539881,F2008915,24.788883197,120.998351585,103.046,0.20000000298023224,140.16000366210938,-0.009999999776482582
1778036385665231621,12528,1778036385664703616,F2008915,24.788883197,120.998351585,103.046,0.12999999523162842,148.30999755859375,-0.029999999329447746
1778036385665237354,12529,1778036385664795500,F2008915,24.788883197,120.998351585,103.046,0.12999999523162842,148.30999755859375,-0.029999999329447746
1778036385698437160,12530,1778036385698026162,F2008915,24.788883197,120.998351585,103.046,0.12999999523162842,148.30999755859375,-0.029999999329447746
1778036385698574229,12531,1778036385698179050,F2008915,24.788883197,120.998351585,103.046,0.12999999523162842,148.30999755859375,-0.029999999329447746
1778036385698594272,12532,1778036385698263653,F2008915,24.788883197,120.998351585,103.046,0.12999999523162842,148.30999755859375,-0.029999999329447746
1778036385736320812,12533,1778036385735844299,F2008915,24.788884754,120.998351655,103.498,0.12999999523162842,148.30999755859375,-0.029999999329447746
1778036385736336210,12534,1778036385735993167,F2008915,24.788884754,120.998351655,103.498,0.07999999821186066,141.75999450683594,0.019999999552965164
1778036385736465360,12535,1778036385736274709,F2008915,24.788884754,120.998351655,103.498,0.07999999821186066,141.75999450683594,0.019999999552965164
1778036385736730762,12536,1778036385736381139,F2008915,24.788884754,120.998351655,103.498,0.07999999821186066,141.75999450683594,0.019999999552965164
1778036385774073651,12537,1778036385773571487,F2008915,24.788884754,120.998351655,103.498,0.03999999910593033,114.12999725341797,-0.009999999776482582
1778036385774118162,12538,1778036385773718134,F2008915,24.788885039,120.998351174,103.6,0.03999999910593033,114.12999725341797,-0.009999999776482582
1778036385774519625,12539,1778036385773985602,F2008915,24.788885039,120.998351174,103.6,0.03999999910593033,114.12999725341797,-0.009999999776482582
1778036385774528132,12540,1778036385774107418,F2008915,24.788885039,120.998351174,103.6,0.03999999910593033,114.12999725341797,-0.009999999776482582
1778036385807793601,12541,1778036385807251344,F2008915,24.788885039,120.998351174,103.6,0.03999999910593033,114.12999725341797,-0.009999999776482582
1778036385808075813,12542,1778036385807404503,F2008915,24.788885073,120.998350298,103.613,0.03999999910593033,114.12999725341797,-0.009999999776482582
