%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.Temp,field.Vinp,field.Pressure,field.Barometric_Height
1778036278425419294,1346,1778036278425103013,F2008915,-41990.0,-41990.0,-41990.0,0.017359,0.010615,1.006567,0.09126,-0.61979,0.05966,28.200000762939453,12.109999656677246,101.61000061035156,100410.0
1778036278425433492,1347,1778036278425163025,F2008915,-41840.0,-41840.0,-41840.0,0.020664,-0.01495,0.995553,-0.02927,0.24108,-0.02872,28.200000762939453,12.100000381469727,101.61000061035156,100410.0
1778036278425450220,1348,1778036278425238478,F2008915,-42100.0,-42100.0,-42100.0,0.031085,-0.025498,0.987661,0.16283,-0.02192,0.00329,28.299999237060547,12.050000190734863,101.5199966430664,100412.0
1778036278425453969,1349,1778036278425285580,F2008915,-41840.0,-41840.0,-41840.0,0.023398,0.006091,1.004633,0.14848,-0.51172,0.08884,28.200000762939453,12.109999656677246,101.5199966430664,100412.0
1778036278463576838,1350,1778036278462918515,F2008915,-41960.0,-41960.0,-41960.0,0.015859,-0.005463,1.002026,0.05398,0.4815,0.05525,28.299999237060547,12.020000457763672,101.61000061035156,100410.0
1778036278463609355,1351,1778036278463053506,F2008915,-42070.0,-42070.0,-42070.0,0.03069,-0.025448,0.988935,0.16546,0.49385,-0.00549,28.299999237060547,12.0600004196167,101.61000061035156,100410.0
1778036278463620791,1352,1778036278463137445,F2008915,-42000.0,-42000.0,-42000.0,0.032149,0.005867,1.004438,0.22783,-0.78994,0.03409,28.299999237060547,12.109999656677246,101.55000305175781,100412.0
1778036278463644935,1353,1778036278463218317,F2008915,-42210.0,-42210.0,-42210.0,0.011755,0.013049,1.012644,0.07901,-0.05838,0.00494,28.299999237060547,12.130000114440918,101.55000305175781,100412.0
1778036278497158287,1354,1778036278496621705,F2008915,-42080.0,-42080.0,-42080.0,0.023537,-0.020362,0.991996,0.04269,0.39388,-0.01288,28.200000762939453,12.130000114440918,101.48999786376953,100412.0
1778036278497177243,1355,1778036278496709750,F2008915,-42190.0,-42190.0,-42190.0,0.030373,-0.005336,0.996496,0.195,-0.17676,-0.04211,28.200000762939453,12.149999618530273,101.48999786376953,100412.0
1778036278497201087,1356,1778036278496782179,F2008915,-42190.0,-42190.0,-42190.0,0.010468,0.015143,1.010358,0.07373,-0.06126,-0.04947,28.299999237060547,12.0600004196167,101.52999877929688,100412.0
1778036278534736527,1357,1778036278534353871,F2008915,-41850.0,-41850.0,-41850.0,0.016188,-0.017474,0.992233,0.01099,0.68092,-0.0694,28.299999237060547,12.09000015258789,101.52999877929688,100412.0
1778036278534757374,1358,1778036278534451056,F2008915,-42150.0,-42150.0,-42150.0,0.03124,-0.01343,0.990452,0.22114,-0.10438,-0.14262,28.299999237060547,12.170000076293945,101.43000030517578,100412.0
1778036278534767951,1359,1778036278534515460,F2008915,-42080.0,-42080.0,-42080.0,0.016269,0.01821,1.00921,0.17738,-0.73295,-0.05583,28.299999237060547,12.149999618530273,101.43000030517578,100412.0
1778036278534794591,1360,1778036278534568335,F2008915,-42100.0,-42100.0,-42100.0,0.01825,-0.004437,0.998013,-0.00105,0.42942,-0.07514,28.299999237060547,12.119999885559082,101.43000030517578,100412.0
1778036278568373445,1361,1778036278568041148,F2008915,-42320.0,-42320.0,-42320.0,0.034449,-0.017591,0.990043,0.14773,0.25415,-0.0919,28.299999237060547,12.109999656677246,101.43000030517578,100412.0
1778036278568844031,1362,1778036278568179638,F2008915,-42050.0,-42050.0,-42050.0,0.028379,0.016426,1.009514,0.1303,-0.58232,-0.00438,28.200000762939453,12.15999984741211,101.4000015258789,100414.0
1778036278568935477,1363,1778036278568265043,F2008915,-42180.0,-42180.0,-42180.0,0.016247,0.007547,1.008572,-0.02251,0.33354,-0.02539,28.200000762939453,12.020000457763672,101.4000015258789,100414.0
1778036278569036789,1364,1778036278568349538,F2008915,-42200.0,-42200.0,-42200.0,0.029847,-0.016969,0.992021,0.00414,0.27452,-0.05646,28.299999237060547,12.100000381469727,101.43000030517578,100412.0
1778036278606371659,1365,1778036278605841613,F2008915,-42130.0,-42130.0,-42130.0,0.032998,0.009525,1.003324,0.02908,-0.86859,0.02272,28.299999237060547,12.09000015258789,101.43000030517578,100412.0
1778036278606407105,1366,1778036278605938044,F2008915,-42270.0,-42270.0,-42270.0,0.012211,0.015919,1.011324,-0.08949,-0.23011,0.05513,28.200000762939453,12.039999961853027,101.43000030517578,100412.0
1778036278606428819,1367,1778036278606034046,F2008915,-42000.0,-42000.0,-42000.0,0.024613,-0.020327,0.989413,-0.10962,0.55037,0.03765,28.200000762939453,12.140000343322754,101.43000030517578,100412.0
1778036278644108787,1368,1778036278643666823,F2008915,-42210.0,-42210.0,-42210.0,0.033454,-0.010412,0.990779,0.00634,-0.11641,0.0231,28.200000762939453,12.09000015258789,101.4000015258789,100414.0
1778036278644118565,1369,1778036278643758799,F2008915,-42210.0,-42210.0,-42210.0,0.014287,0.01282,1.006246,-0.0547,-0.33422,0.02638,28.200000762939453,12.09000015258789,101.4000015258789,100414.0
