x,y,z
229.735,-63.485,2.642
229.166,-63.520,2.617
228.593,-63.553,2.569
227.989,-63.579,2.517
227.353,-63.615,2.461
226.737,-63.636,2.439
226.087,-63.659,2.449
225.417,-63.703,2.361
224.345,-63.734,2.300
223.650,-63.733,2.257
223.061,-63.761,2.260
222.539,-63.770,2.165
221.783,-63.770,2.227
221.159,-63.781,2.210
220.575,-63.798,2.161
219.992,-63.807,2.158
219.459,-63.803,2.135
218.937,-63.809,2.117
218.403,-63.828,2.089
217.883,-63.851,2.079
217.381,-63.860,2.058
216.651,-63.891,2.076
215.947,-63.938,2.050
215.435,-63.974,1.970
214.886,-64.008,1.956
214.371,-64.041,1.932
213.848,-64.087,1.933
213.133,-64.154,1.854
212.431,-64.252,1.815
211.722,-64.327,1.812
211.031,-64.409,1.753
210.359,-64.470,1.729
209.729,-64.549,1.682
209.097,-64.642,1.660
208.478,-64.690,1.661
207.876,-64.788,1.623
207.246,-64.841,1.536
206.613,-64.941,1.535
205.928,-65.063,1.530
205.413,-65.148,1.493
204.664,-65.277,1.484
204.145,-65.367,1.477
203.620,-65.438,1.455
203.075,-65.521,1.443
202.511,-65.605,1.422
201.937,-65.693,1.404
201.324,-65.825,1.385
200.722,-65.905,1.376
200.150,-65.982,1.335
199.585,-66.100,1.336
199.068,-66.171,1.369
198.514,-66.265,1.371
197.948,-66.377,1.332
197.388,-66.426,1.363
196.811,-66.508,1.335
196.251,-66.592,1.373
195.595,-66.674,1.357
194.970,-66.770,1.330
194.376,-66.815,1.279
193.798,-66.898,1.289
193.214,-66.966,1.228
192.203,-67.024,1.083
191.685,-67.133,1.170
191.106,-67.180,1.106
190.468,-67.257,1.131
189.810,-67.300,0.929
189.251,-67.364,1.084
188.641,-67.375,1.062
188.040,-67.419,1.012
187.409,-67.494,0.984
186.856,-67.501,0.979
186.269,-67.488,0.938
185.695,-67.465,0.929
185.132,-67.417,0.914
184.591,-67.394,0.808
184.078,-67.370,0.816
183.354,-67.276,0.723
182.852,-67.228,0.761
182.114,-67.144,0.695
181.612,-67.066,0.683
181.040,-66.991,0.607
180.516,-66.893,0.580
179.948,-66.798,0.598
179.416,-66.739,0.558
178.884,-66.693,0.549
178.346,-66.616,0.494
177.835,-66.549,0.485
177.299,-66.509,0.461
176.791,-66.468,0.477
176.294,-66.404,0.417
175.545,-66.317,0.380
175.045,-66.235,0.390
174.301,-66.114,0.364
173.597,-66.010,0.311
172.881,-65.897,0.285
172.214,-65.800,0.250
171.590,-65.644,0.228
170.977,-65.601,0.244
170.407,-65.514,0.231
169.849,-65.434,0.195
169.212,-65.324,0.201
168.619,-65.201,0.182
168.086,-65.118,0.168
167.507,-65.020,0.158
166.994,-64.941,0.143
166.492,-64.848,0.122
165.904,-64.769,0.115
165.362,-64.679,0.101
164.867,-64.583,0.094
164.278,-64.488,0.077
163.686,-64.401,0.056
163.160,-64.311,0.046
162.589,-64.223,0.050
161.972,-64.150,0.030
161.301,-64.065,0.023
160.573,-63.969,0.011
160.058,-63.900,0.005
159.554,-63.826,-0.005
159.017,-63.768,-0.021
158.447,-63.701,-0.039
157.862,-63.640,-0.049
157.252,-63.580,-0.058
156.628,-63.516,-0.050
155.986,-63.439,-0.072
155.310,-63.355,-0.092
154.566,-63.313,-0.205
153.926,-63.220,-0.125
153.210,-63.149,-0.134
152.503,-63.076,-0.152
151.776,-62.996,-0.175
151.012,-62.938,-0.174
150.239,-62.854,-0.233
149.459,-62.790,-0.237
148.656,-62.719,-0.210
147.858,-62.628,-0.291
147.115,-62.594,-0.221
146.286,-62.504,-0.322
145.474,-62.431,-0.370
144.693,-62.364,-0.329
143.922,-62.266,-0.356
143.127,-62.148,-0.383
142.319,-62.025,-0.399
141.532,-61.933,-0.472
140.712,-61.830,-0.422
139.743,-61.716,-0.583
139.094,-61.589,-0.479
138.277,-61.462,-0.608
137.504,-61.315,-0.476
136.695,-61.133,-0.477
135.896,-61.001,-0.478
135.104,-60.826,-0.493
134.279,-60.662,-0.499
133.479,-60.503,-0.507
132.643,-60.349,-0.531
131.849,-60.200,-0.530
131.030,-60.053,-0.595
130.237,-59.899,-0.627
129.415,-59.755,-0.602
128.617,-59.613,-0.634
127.798,-59.485,-0.641
127.004,-59.366,-0.662
126.160,-59.270,-0.662
125.320,-59.173,-0.702
124.516,-59.058,-0.675
123.689,-58.915,-0.685
122.777,-58.770,-0.752
122.014,-58.674,-0.732
121.195,-58.559,-0.737
120.349,-58.461,-0.762
119.504,-58.361,-0.775
118.655,-58.252,-0.774
117.809,-58.165,-0.785
116.937,-58.076,-0.770
116.075,-57.974,-0.827
115.224,-57.889,-0.782
114.362,-57.789,-0.790
113.521,-57.732,-0.862
112.635,-57.698,-0.833
111.754,-57.685,-0.885
110.884,-57.684,-0.883
110.038,-57.661,-0.906
109.220,-57.638,-0.898
108.311,-57.645,-0.945
107.442,-57.633,-0.946
106.580,-57.639,-0.969
105.672,-57.658,-0.994
104.781,-57.680,-1.018
103.903,-57.710,-1.020
103.013,-57.740,-1.043
102.159,-57.758,-1.051
101.282,-57.788,-1.084
100.416,-57.820,-1.084
99.558,-57.872,-1.108
98.694,-57.935,-1.109
97.812,-57.987,-1.140
96.948,-58.043,-1.146
96.067,-58.084,-1.183
95.183,-58.151,-1.203
94.295,-58.219,-1.241
93.436,-58.276,-1.276
92.731,-58.343,-1.263
92.078,-58.387,-1.323
91.260,-58.476,-1.314
90.390,-58.566,-1.322
89.554,-58.658,-1.378
88.672,-58.749,-1.408
87.799,-58.839,-1.417
86.940,-58.927,-1.438
86.079,-59.023,-1.460
85.228,-59.110,-1.486
84.360,-59.192,-1.496
83.498,-59.265,-1.518
82.637,-59.341,-1.543
81.760,-59.411,-1.560
80.897,-59.489,-1.574
80.050,-59.556,-1.605
79.216,-59.621,-1.612
78.338,-59.693,-1.607
77.484,-59.746,-1.614
76.650,-59.802,-1.657
75.830,-59.859,-1.678
74.971,-59.917,-1.741
74.200,-59.969,-1.765
73.629,-60.041,-1.740
